机构代码		操作员		操作类型		操作日期
062333839		DengTing  		年检      		2013-05-09		
062333839		DengTing  		变更      		2013-05-09		
665118417		DengTing  		换证      		2013-05-09		
665118417		DengTing  		IC卡发放  		2013-05-09		
665118417		DengTing  		IC卡废置  		2013-05-09		
06233396X		460000    		IC卡废置  		2013-05-08		
06233396X		460000    		代码清除  		2013-05-08		
X82454769		460000    		IC卡废置  		2013-05-08		
X82454769		460000    		代码清除  		2013-05-08		
X82454750		460000    		代码清除  		2013-05-08		
062333986		460000    		IC卡废置  		2013-05-08		
062333986		460000    		代码清除  		2013-05-08		
062333847		460000    		IC卡废置  		2013-05-08		
062333847		460000    		代码清除  		2013-05-08		
062334022		DengTing  		新增      		2013-05-08		
754393613		460000    		代码迁入		2013-05-08		
062333716		460000    		证书打印  		2013-05-07		
062334014		460000    		新增      		2012-05-03		
062334014		460000    		IC卡发放  		2012-05-03		
062333978		460000    		IC卡退卡		2012-05-03		
062333978		460000    		IC卡补卡  		2012-05-03		
062333978		460000    		IC卡退卡		2012-05-03		
062333978		460000    		IC卡退卡		2012-05-03		
062333978		460000    		IC卡补卡  		2012-05-03		
062333978		460000    		IC卡补卡  		2012-05-03		
062333994		460000    		代码迁出		2012-05-03		
062333994		460000    		证书打印  		2012-05-03		
062333994		460000    		迁址恢复  		2012-05-03		
062333994		460000    		代码迁出		2012-05-03		
062333994		460000    		证书打印  		2012-05-03		
062333994		460000    		迁址恢复  		2012-05-03		
062333994		460000    		代码迁出		2012-05-03		
062333994		460000    		证书打印  		2012-05-03		
062333994		460000    		预赋码		2012-05-03		
062333978		460000    		IC卡挂失  		2013-05-03		
062333978		460000    		制卡		2013-05-03
062333978		460000    		IC卡补卡  		2013-05-03		
062333978		460000    		IC卡挂失  		2013-05-03		
062333978		460000    		IC卡挂失  		2013-05-03		
062333978		460000    		制卡		2013-05-03
062333978		460000    		IC卡补卡  		2013-05-03		
062333978		460000    		IC卡挂失  		2013-05-03		
062333978		460000    		制卡		2013-05-03
062333978		460000    		IC卡补卡  		2013-05-03		
062333978		460000    		IC卡挂失  		2013-05-03		
062333978		460000    		IC卡挂失  		2013-05-03		
062333978		460000    		制卡		2013-05-03
062333978		460000    		IC卡补卡  		2013-05-03		
062333978		460000    		IC卡挂失  		2013-05-03		
062333978		460000    		IC卡挂失  		2013-05-03		
062333978		460000    		制卡		2013-05-03
062333978		460000    		IC卡补卡  		2013-05-03		
062333978		460000    		IC卡挂失  		2013-05-03		
062333978		460000    		制卡		2013-05-03
062333978		460000    		IC卡补卡  		2013-05-03		
X82454750		460000    		证书打印  		2012-05-03		
062333978		460000    		IC卡挂失  		2013-05-03		
062333978		460000    		制卡		2013-05-03
X82454750		460000    		证书打印  		2012-05-03		
062333978		460000    		IC卡补卡  		2013-05-03		
X82454750		460000    		证书挂失  		2012-05-03		
X82454750		460000    		预约挂失  		2012-05-03		
062333978		460000    		IC卡挂失  		2013-05-03		
062333978		460000    		IC卡挂失  		2013-05-03		
062333978		460000    		制卡		2013-05-03
062333978		460000    		IC卡补卡  		2013-05-03		
X82454750		460000    		证书打印  		2012-05-03		
X82454750		460000    		证书打印  		2012-05-03		
X82454750		460000    		证书打印  		2012-05-03		
062333978		460000    		IC卡挂失  		2013-05-03		
062333978		460000    		制卡		2013-05-03
062333978		460000    		IC卡补卡  		2013-05-03		
062333978		460000    		IC卡挂失  		2013-05-03		
062333978		460000    		制卡		2013-05-03
062333978		460000    		IC卡补卡  		2013-05-03		
062333978		460000    		卡年检		2013-05-03		
062333978		460000    		制卡		2013-05-03
062333978		460000    		IC卡补卡  		2013-05-03		
062333978		460000    		卡年检		2013-05-03		
062333978		460000    		卡年检		2013-05-03		
062333978		460000    		制卡		2013-05-03
062333978		460000    		IC卡补卡  		2013-05-03		
062333978		460000    		卡年检		2013-05-03		
062333978		460000    		卡年检		2013-05-03		
062333978		460000    		制卡		2013-05-03
062333978		460000    		IC卡补卡  		2013-05-03		
062333978		460000    		卡年检		2013-05-03		
062333978		460000    		制卡		2013-05-03
062333978		460000    		IC卡补卡  		2013-05-03		
062333978		460000    		IC卡补卡  		2012-05-03		
062333986		460000    		IC卡变更		2013-05-03		
062333986		460000    		制卡		2013-05-03
062333986		460000    		证书打印  		2012-05-03		
062333986		460000    		新增      		2013-05-03		
062333986		460000    		IC卡发放  		2013-05-03		
062333978		460000    		卡年检		2013-05-03		
062333978		460000    		制卡		2013-05-03
062333978		460000    		IC卡补卡  		2013-05-03		
062333978		460000    		卡年检		2013-05-03		
062333978		460000    		制卡		2013-05-03
062333978		460000    		IC卡补卡  		2013-05-03		
062333978		460000    		卡年检		2012-05-03		
062333978		460000    		制卡		2012-05-03
062333978		460000    		IC卡补卡  		2012-05-03		
062333978		460000    		卡年检		2012-05-03		
062333978		460000    		制卡		2012-05-03
062333978		460000    		IC卡补卡  		2012-05-03		
062333978		460000    		卡年检		2012-05-03		
062333978		460000    		制卡		2012-05-03
062333978		460000    		IC卡补卡  		2012-05-03		
062333978		460000    		卡年检		2012-05-03		
062333978		460000    		IC卡变更		2012-05-03		
062333978		460000    		卡年检		2012-05-03		
062333978		460000    		卡年检		2012-05-03		
062333978		460000    		年检      		2012-05-03		
062333978		460000    		制卡		2012-05-03
062333978		460000    		IC卡补卡  		2012-05-03		
062333978		460000    		年检      		2012-05-03		
062333978		460000    		卡年检		2012-05-03		
062333978		460000    		制卡		2012-05-03
062333978		460000    		IC卡补卡  		2012-05-03		
062333978		460000    		卡年检		2012-05-03		
062333978		460000    		卡年检		2012-05-03		
062333978		460000    		制卡		2012-05-03
062333978		460000    		IC卡补卡  		2012-05-03		
062333978		460000    		IC卡退卡		2012-05-03		
062333978		460000    		IC卡补卡  		2012-05-03		
062333978		460000    		证书打印  		2012-05-03		
062333978		460000    		新增      		2012-05-03		
665142660		460000    		IC卡退卡		2012-05-03		
665142660		460000    		IC卡退卡		2012-05-03		
665142660		460000    		IC卡退卡		2012-05-03		
665142660		460000    		IC卡补卡  		2012-05-03		
665142660		460000    		证书打印  		2012-05-03		
665142660		460000    		IC卡发放  		2012-05-03		
665142660		460000    		IC卡发放  		2012-05-03		
665142660		460000    		变更      		2012-05-03		
06233396X		460000    		IC卡补卡  		2012-05-02		
06233396X		460000    		IC卡退卡		2012-05-02		
06233396X		460000    		IC卡补卡  		2012-05-02		
06233396X		460000    		证书打印  		2012-05-02		
06233396X		460000    		新增      		2012-05-02		
062333951		460000    		IC卡补卡  		2013-05-02		
062333951		460000    		IC卡退卡		2013-05-02		
062333951		460000    		IC卡补卡  		2013-05-02		
062333951		460000    		证书打印  		2013-05-02		
062333951		460000    		新增      		2013-05-02		
671053912		460000    		卡年检		2012-05-02		
713866613		460000    		IC卡补卡  		2013-05-02		
713866613		460000    		IC卡退卡		2013-05-02		
713866613		460000    		IC卡补卡  		2013-05-02		
062333943		460000    		卡年检		2013-05-02		
713866613		460000    		卡年检		2012-05-02		
062333943		460000    		制卡		2013-05-02
713866613		460000    		IC卡退卡		2012-05-02		
713866613		460000    		IC卡补卡  		2012-05-02		
062333863		460000    		制卡		2013-05-02
062333863		460000    		IC卡补卡  		2013-05-02		
062333943		460000    		制卡		2013-05-02
062333943		460000    		证书打印  		2012-05-02		
062333943		460000    		新增      		2012-05-02		
062333943		460000    		IC卡发放  		2012-05-02		
062333943		460000    		IC卡发放  		2012-05-02		
721268066		460000    		证书打印  		2012-05-02		
721268066		460000    		IC卡发放  		2012-05-02		
721268066		460000    		变更      		2012-05-02		
721268066		460000    		证书打印  		2012-05-02		
721268066		460000    		废置恢复  		2012-05-02		
589295357		460000    		迁址恢复  		2013-05-02		
589295357		460000    		代码迁出		2013-05-02		
589295357		460000    		IC卡废置  		2013-05-02		
721268066		460000    		IC卡废置  		2013-05-02		
721268066		460000    		废置      		2013-05-02		
74776958X		460000    		变更      		2013-05-02		
062333863		460000    		卡年检		2013-05-02		
X82454750		460000    		迁址恢复  		2013-05-02		
X82454750		460000    		代码迁出		2013-05-02		
062333863		460000    		卡年检		2013-05-02		
062333863		460000    		制卡		2013-05-02
062333863		460000    		IC卡补卡  		2013-05-02		
062333863		460000    		IC卡补卡  		2013-05-02		
721268066		460000    		证书打印  		2012-05-02		
721268066		460000    		IC卡发放  		2012-05-02		
721268066		460000    		迁址恢复  		2012-05-02		
062333863		460000    		卡年检		2013-05-02		
062333863		460000    		卡年检		2013-05-02		
062333863		460000    		制卡		2013-05-02
721268066		460000    		代码迁出		2012-05-02		
721268066		460000    		IC卡废置  		2012-05-02		
062333863		460000    		IC卡补卡  		2013-05-02		
721268066		460000    		证书打印  		2012-05-02		
721268066		460000    		IC卡发放  		2012-05-02		
721268066		460000    		迁址恢复  		2012-05-02		
721268066		460000    		代码迁出		2012-05-02		
721268066		460000    		证书打印  		2012-05-02		
721268066		460000    		IC卡发放  		2012-05-02		
721268066		460000    		变更      		2012-05-02		
X82454742		460000    		证书打印  		2012-05-02		
X82454742		460000    		代码迁入		2012-05-02		
X82454742		460000    		IC卡发放  		2012-05-02		
X82454742		460000    		IC卡发放  		2012-05-02		
062333863		460000    		IC卡废置  		2012-05-02		
062333863		460000    		IC卡变更		2012-05-02		
062333863		460000    		IC卡变更		2012-05-02		
062333863		460000    		卡年检		2012-05-02		
062333863		460000    		卡年检		2012-05-02		
062333863		460000    		年检      		2012-05-02		
062333863		460000    		卡年检		2012-05-02		
062333863		460000    		制卡		2012-05-02
062333863		460000    		证书打印  		2012-05-02		
062333863		460000    		预赋码		2012-05-02		
062333863		460000    		IC卡发放  		2012-05-02		
294126310		460000    		IC卡废置  		2013-05-02		
294126310		460000    		废置      		2013-05-02		
062333927		460000    		新增      		2012-05-02		
062333927		460000    		IC卡发放  		2012-05-02		
062333919		460000    		新增      		2013-05-02		
062333919		460000    		IC卡发放  		2013-05-02		
665142476		460000    		变更      		2012-05-02		
062333900		460000    		证书打印  		2012-05-02		
062333900		460000    		证书挂失  		2012-05-02		
062333900		460000    		预约挂失  		2012-05-02		
062333839		460000    		证书打印  		2012-05-02		
X82454750		460000    		证书打印  		2012-05-02		
062333919		460000    		预赋码删除		2012-05-03		
X82454750		460000    		证书打印  		2013-04-28		
X82454750		460000    		证书打印  		2013-04-28		
X82454750		460000    		证书打印  		2013-04-28		
X82454750		460000    		证书打印  		2013-04-28		
X82454750		460000    		证书打印  		2013-04-28		
X82454750		460000    		证书打印  		2013-04-28		
X82454750		460000    		证书打印  		2013-04-28		
062333839		460000    		证书打印  		2013-04-28		
062333839		460000    		证书打印  		2013-04-28		
X82454750		460000    		代码迁入		2012-04-29		
X82454769		460000    		证书打印  		2012-04-29		
X82454769		460000    		代码迁入		2012-04-29		
X82454769		460000    		IC卡发放  		2012-04-29		
062333820		460000    		代码清除  		2013-04-28		
062333900		460000    		证书打印  		2012-04-29		
062333900		460000    		证书挂失  		2012-04-29		
062333900		460000    		预约挂失  		2012-04-29		
062333900		460000    		证书打印  		2012-04-29		
062333900		460000    		证书打印  		2012-04-29		
062333900		460000    		证书挂失  		2012-04-29		
062333900		460000    		预约挂失  		2012-04-29		
062333900		460000    		证书打印  		2012-04-29		
062333820		460000    		代码清除  		2013-04-28		
062333820		460000    		卡年检		2013-04-28		
062333820		460000    		卡年检		2013-04-28		
062333820		460000    		制卡		2013-04-28
062333820		460000    		制卡		2013-04-28
062333900		460000    		证书打印  		2012-04-29		
062333900		460000    		证书挂失  		2012-04-29		
062333900		460000    		预约挂失  		2012-04-29		
062333900		460000    		证书打印  		2012-04-29		
062333900		460000    		新增      		2012-04-29		
062333900		460000    		IC卡发放  		2012-04-29		
062333388		460000    		申请表修改		2012-04-29		
062333839		460000    		变更      		2013-04-28		
665118417		460000    		IC卡变更		2013-04-28		
665118417		460000    		变更      		2013-04-28		
062333820		460000    		制卡		2013-04-28
062333820		460000    		代码清除  		2013-04-28		
062333820		460000    		制卡		2013-04-28
062333820		460000    		代码清除  		2013-04-28		
552788043		460000    		IC卡发放  		2012-04-29		
552788043		460000    		变更      		2012-04-29		
062333820		460000    		代码清除  		2013-04-28		
062333820		460000    		代码清除  		2013-04-28		
X82454654		460000    		变更      		2012-04-29		
062333820		460000    		代码清除  		2013-04-28		
062333839		460000    		变更      		2012-04-29		
062332641		460000    		变更      		2012-04-29		
284002779		460000    		变更      		2012-04-29		
721268066		460000    		变更      		2013-04-28		
062333820		460000    		制卡		2013-04-28
062333820		460000    		代码清除  		2013-04-28		
665118417		460000    		变更      		2013-04-28		
284002779		460000    		证书打印  		2013-04-28		
284002779		460000    		证书挂失  		2013-04-28		
284002779		460000    		预约挂失  		2013-04-28		
620318132		460000    		废置      		2012-04-28		
284002779		460000    		变更      		2013-04-28		
062333820		460000    		制卡		2013-04-28
062333820		460000    		代码清除  		2013-04-28		
062333820		460000    		制卡		2013-04-28
062333820		460000    		代码清除  		2013-04-28		
901244512		460000    		变更      		2013-04-28		
552755030		460000    		IC卡发放  		2013-04-28		
552755030		460000    		变更      		2013-04-28		
062333820		460000    		制卡		2013-04-28
062333820		460000    		代码清除  		2013-04-28		
901244512		460000    		证书打印  		2013-04-28		
671059329		460000    		IC卡发放  		2012-04-28		
671059329		460000    		IC卡发放  		2012-04-28		
671059329		460000    		迁址恢复  		2012-04-28		
671059329		460000    		代码迁出		2012-04-28		
062333855		460000    		证书打印  		2012-04-28		
062333855		460000    		IC卡发放  		2012-04-28		
062333855		460000    		迁址恢复  		2012-04-28		
062333898		460100    		证书打印  		2012-04-28		
062333898		460100    		IC卡发放  		2012-04-28		
062333898		460100    		变更      		2012-04-28		
062333898		460100    		证书打印  		2012-04-28		
062333898		460100    		预赋码		2012-04-28		
062333898		460100    		IC卡发放  		2012-04-28		
06233388X		460100    		证书打印  		2012-04-28		
06233388X		460100    		IC卡发放  		2012-04-28		
06233388X		460100    		变更      		2012-04-28		
